"text-decoration-none href","rounded src","job-title","text-muted","mt-1","mt-1 2","badge","badge 2","badge 3"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-kinh-doanh-san-thuong-mai-dien-tu-26736154786.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/15251-200x200.jpg?v=1661329351","Thực Tập Sinh Kinh Doanh Sàn Thương Mại Điện Tử","Công Ty Cổ Phần Nhanh.vn - Hồ Chí Minh","6 - 8 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","17 phút trước"
"https://jobsgo.vn/viec-lam/sales-executive-intern-fresher-25798117466.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/152484-200x200.jpg?v=1727163041","Sales Executive (Intern/Fresher)","Công Ty Cổ Phần Freshdi Việt Nam","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","27 phút trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-kiem-thu-phan-mem-qa-intern-26260007151.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/71832-200x200.jpg?v=1657512927","Thực Tập Sinh Kiểm Thử Phần Mềm (QA Intern)","Công Ty TNHH Kỹ Thuật Điện V.T.E.C.H","Thỏa thuận","Hồ Chí Minh","Full-time","Dưới 1 năm","37 phút trước"
"https://jobsgo.vn/viec-lam/ky-thuat-vien-lap-dat-va-bao-tri-may-nha-khoa-26406008559.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/89492-200x200.jpg?v=1739951062","Kỹ Thuật Viên Lắp Đặt Và Bảo Trì Máy Nha Khoa","JobsGO Recruit","12 - 15 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","37 phút trước"
"https://jobsgo.vn/viec-lam/chuyen-vien-quang-cao-marketing-ads-nganh-dien-thoai-luong-cung-up-to-25-trieu-26701677705.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/479516-200x200.jpg?v=1776307790","Chuyên Viên Quảng Cáo/Marketing Ads (Ngành Điện Thoại) - Lương Cứng Up To 25 Triệu","Công Ty TNHH Công Nghệ Ngôi Sao Di Động Việt Nam","15 - 25 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 2 năm","37 phút trước"
"https://jobsgo.vn/viec-lam/thuc-tap-sinh-kinh-doanh-ho-tro-thu-thap-phan-tich-thong-tin-thi-truong-26296317397.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/118257-200x200.jpg?v=1775187399","Thực Tập Sinh Kinh Doanh (Hỗ Trợ Thu Thập & Phân Tích Thông Tin Thị Trường)","Công Ty TNHH Phố Văn Phòng","Từ 1 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","47 phút trước"
"https://jobsgo.vn/viec-lam/nhan-vien-xu-ly-data-counterfeit-ipr-gan-nhan-du-an-qc-project-26327671308.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/27640-200x200.jpg?v=1772075373","Nhân Viên Xử Lý Data - Counterfeit/IPR (Gắn Nhãn) - Dự án QC Project","Công Ty TNHH Việt Mỹ SSU","6 - 7 triệu VNĐ","Hồ Chí Minh","Full-time","Dưới 1 năm","2 giờ trước"
"https://jobsgo.vn/viec-lam/ky-thuat-vien-dien-tu-trung-tam-bao-hanh-tivi-loa-hang-samsung-26347116436.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/4787-200x200.jpg?v=1735097691","Kỹ Thuật Viên Điện Tử Trung Tâm Bảo Hành (Tivi, Loa) Hãng Samsung","Công Ty Cổ Phần Thế Giới Số","8 - 15 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","2 giờ trước"
"https://jobsgo.vn/viec-lam/ky-thuat-vien-khuc-xa-26355671206.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/124562-200x200.jpg?v=1753165318","Kỹ Thuật Viên Khúc Xạ","Công Ty Cổ Phần Trung Tâm Mắt Quốc Tế 3P Hikari","10 - 15 triệu VNĐ","Hồ Chí Minh","Full-time","1 - 5 năm","2 giờ trước"
"https://jobsgo.vn/viec-lam/chuyen-vien-kinh-doanh-dich-vu-vien-thong-cntt-khu-vuc-ha-noi-va-tp-hcm-26362528601.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/57909-200x200.jpg?v=1615782876","Chuyên Viên Kinh Doanh Dịch Vụ Viễn Thông, CNTT - Khu Vực Hà Nội Và TP. HCM","Công Ty TNHH Công Nghệ Leeon","15 - 30 triệu VNĐ","Hồ Chí Minh, Hà Nội","Full-time","1 - 5 năm","2 giờ trước"
"https://jobsgo.vn/viec-lam/fresh-graduate-accountant-26363316183.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/8006-200x200.jpg?v=1716365480","Fresh Graduate Accountant","Công ty TNHH Dịch vụ KAV Việt Nam","Thỏa thuận","Hồ Chí Minh","Full-time","Không yêu cầu","2 giờ trước"
"https://jobsgo.vn/viec-lam/junior-accountant-26363818606.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/8006-200x200.jpg?v=1716365480","Junior Accountant","Công ty TNHH Dịch vụ KAV Việt Nam","Thỏa thuận","Hồ Chí Minh","Full-time","1 - 3 năm","2 giờ trước"
"https://jobsgo.vn/viec-lam/chuyen-vien-an-ninh-26373174537.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/86951-200x200.jpg?v=1765762319","Chuyên Viên An Ninh","Đại Siêu Thị Emart - Công Ty TNHH Thiso Retail","Thỏa thuận","Hồ Chí Minh","Full-time","1 - 3 năm","2 giờ trước"
"https://jobsgo.vn/viec-lam/ads-specialist-26390080392.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/389237-200x200.jpg?v=1764566450","Ads Specialist","Công Ty TNHH Spark Interactive","12 - 25 triệu VNĐ","Hồ Chí Minh","Full-time","2 - 5 năm","2 giờ trước"
"https://jobsgo.vn/viec-lam/bim-revit-modeller-hoa-vien-bim-revit-26399219059.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/477196-200x200.jpg?v=1775732958","BIM Revit Modeller - Họa Viên BIM Revit","Công Ty TNHH Byg Projects (Việt Nam)","Thỏa thuận","Hồ Chí Minh","Full-time","Trên 1 năm","2 giờ trước"
"https://jobsgo.vn/viec-lam/sales-manager-steel-industry-good-english-and-chinese-korean-speaking-40-55-mill-vnd-26569-d-1-hcm-26404623501.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/1113-200x200.jpg?v=1748313639","Sales Manager (Steel Industry - Good English And Chinese/Korean Speaking) ~ 40 - 55 Mill Vnd [26569 - D. 1, HCM]","Công Ty TNHH Reeracoen Việt Nam","40 - 55 triệu VNĐ","Hồ Chí Minh","Full-time","5 - 6 năm","2 giờ trước"
"https://jobsgo.vn/viec-lam/digital-content-creator-video-editing-design-28001-26423783470.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/1113-200x200.jpg?v=1748313639","Digital Content Creator (Video Editing & Design) - 28001","Công Ty TNHH Reeracoen Việt Nam","16 - 20 triệu VNĐ","Hồ Chí Minh","Full-time","3 - 5 năm","2 giờ trước"
